"atleta_id","rodada_id","clube_id","posicao_id","status_id","pontos_num","preco_num","variacao_num","media_num","jogos_num","FS","PE","A","FT","FD","FF","G","I","PP","RB","FC","GC","CA","CV","SG","DD","DP","GS"
68893,10,287,5,6,0.0,7.55,0.0,5.33,3,1,2,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
68827,10,266,3,5,0.0,3.32,0.0,-1.3,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
68807,10,294,5,6,0.0,9.78,0.0,2.28,5,3,8,1,0,0,2,1,2,0,2,5,0,1,0,0,0,0,0
68834,10,292,4,7,0.0,10.51,0.0,4.17,8,12,26,1,0,2,7,0,0,0,19,14,0,1,0,0,0,0,0
68895,10,266,5,6,-0.9,8.43,-2.46,0.75,2,4,3,0,0,0,1,0,2,0,1,2,0,0,0,0,0,0,0
68911,10,292,4,7,2.5,16.34,-0.79,4.98,5,16,27,0,0,2,2,3,0,0,3,11,0,1,0,0,0,0,0
69008,10,315,3,5,0.0,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68884,10,373,1,6,0.0,0.71,0.0,-8.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
68887,10,266,3,5,0.0,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69010,10,303,1,6,0.0,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68910,10,292,4,5,0.0,6.5,0.0,3.55,4,4,10,0,0,0,2,0,0,0,14,12,0,2,0,0,0,0,0
68822,10,265,1,6,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68920,10,275,5,6,-0.6,16.49,-1.02,3.13,4,17,14,0,0,1,1,0,3,0,5,1,0,0,0,0,0,0,0
68901,10,263,5,7,1.8,6.54,0.14,2.21,10,16,53,2,0,2,4,1,2,0,11,17,0,1,0,0,0,0,0
69012,10,293,1,6,0.0,5.43,0.0,3.35,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2
69014,10,283,3,6,0.0,10.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69040,10,277,1,6,0.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69138,10,293,5,6,0.0,2.65,0.0,-1.75,6,8,21,0,0,0,3,0,5,0,1,7,0,3,0,0,0,0,0
69047,10,264,4,6,5.2,3.53,1.01,2.32,5,3,15,2,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0
69160,10,284,4,7,0.7,4.82,-0.13,1.47,4,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69095,10,263,4,5,0.0,4.77,-0.21,0.38,6,1,7,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0
